,movie,year,imdb,metascore,votes,duration (min),directors,genres,income
30,The Intern,2015,7.1,51,193464,121,Nancy Meyers,"
Comedy, Drama            ",75.76
31,The Lobster,2015,7.1,82,186007,119,Yorgos Lanthimos,"
Comedy, Drama, Romance            ",8.7
32,Everest,2015,7.1,64,182607,121,Baltasar Kormákur,"
Action, Adventure, Biography            ",43.48
33,Ted 2,2015,6.3,48,167950,115,Seth MacFarlane,"
Comedy            ",81.48
34,Jupiter Ascending,2015,5.3,40,167786,127,"
Lana Wachowski, 
Lilly Wachowski","
Action, Adventure, Sci-Fi            ",47.39
35,Straight Outta Compton,2015,7.9,72,166547,147,F. Gary Gray,"
Biography, Drama, History            ",161.2
36,Tomorrowland,2015,6.4,60,162439,130,Brad Bird,"
Action, Adventure, Family            ",93.44
37,The VVitch: A New-England Folktale,2015,6.8,83,158197,92,Robert Eggers,"
Horror, Mystery            ",25.14
38,Black Mass,2015,6.9,68,156987,123,Scott Cooper,"
Biography, Crime, Drama            ",62.58
39,The Danish Girl,2015,7.1,66,148363,119,Tom Hooper,"
Biography, Drama, Romance            ",12.71
40,Cinderella,2015,6.9,67,144982,105,Kenneth Branagh,"
Drama, Family, Fantasy            ",201.15
41,Fantastic Four,2015,4.3,27,141338,100,Josh Trank,"
Action, Adventure, Drama            ",56.12
42,Legend,2015,6.9,55,140888,132,Brian Helgeland,"
Biography, Crime, Drama            ",1.87
43,The Age of Adaline,2015,7.2,51,140479,112,Lee Toland Krieger,"
Drama, Fantasy, Romance            ",42.48
44,Steve Jobs,2015,7.2,82,140027,122,Danny Boyle,"
Biography, Drama            ",17.77
45,Pitch Perfect 2,2015,6.4,63,131910,115,Elizabeth Banks,"
Comedy, Music            ",184.3
46,The Gift,2015,7.1,77,125118,108,Joel Edgerton,"
Drama, Mystery, Thriller            ",43.77
47,Trainwreck,2015,6.2,75,122624,125,Judd Apatow,"
Comedy, Drama, Romance            ",110.21
48,Pixels,2015,5.6,27,121066,105,Chris Columbus,"
Action, Comedy, Sci-Fi            ",78.75
49,Crimson Peak,2015,6.5,66,120270,119,Guillermo del Toro,"
Drama, Fantasy, Horror            ",31.06
50,Joy,2015,6.6,56,118966,124,David O. Russell,"
Drama            ",56.45
51,Brooklyn,2015,7.5,88,118321,117,John Crowley,"
Drama, Romance            ",38.32
52,Me and Earl and the Dying Girl,2015,7.7,74,113741,105,Alfonso Gomez-Rejon,"
Comedy, Drama, Romance            ",6.74
53,Get Hard,2015,6.0,34,112218,100,Etan Cohen,"
Comedy, Crime            ",90.41
54,The Walk,2015,7.3,70,110675,123,Robert Zemeckis,"
Adventure, Biography, Drama            ",10.14
55,In the Heart of the Sea,2015,6.9,47,109785,122,Ron Howard,"
Action, Adventure, Biography            ",25.02
56,The Visit,2015,6.2,55,103495,94,M. Night Shyamalan,"
Horror, Mystery, Thriller            ",65.21
57,Carol,2015,7.2,95,102034,118,Todd Haynes,"
Drama, Romance            ",12.71
58,Daddy's Home,2015,6.2,42,98284,96,Sean Anders,"
Comedy            ",150.36
59,Burnt,2015,6.6,42,97163,101,John Wells,"
Comedy, Drama            ",13.65
60,Run All Night,2015,6.6,59,94747,114,Jaume Collet-Serra,"
Action, Drama, Thriller            ",26.44
61,Hotel Transylvania 2,2015,6.7,44,94282,89,Genndy Tartakovsky,"
Animation, Comedy, Family            ",169.7
62,The Good Dinosaur,2015,6.7,66,92536,93,Peter Sohn,"
Animation, Adventure, Comedy            ",123.09
63,Green Room,2015,7.0,79,92413,95,Jeremy Saulnier,"
Horror, Music, Thriller            ",3.22
64,Paper Towns,2015,6.3,56,88589,109,Jake Schreier,"
Comedy, Drama, Mystery            ",32.0
65,Vacation,2015,6.1,34,88537,99,"
John Francis Daley, 
Jonathan Goldstein","
Adventure, Comedy            ",58.88
66,The Last Witch Hunter,2015,6.0,34,87138,106,Breck Eisner,"
Action, Adventure, Fantasy            ",27.37
67,Home,2015,6.6,55,86459,94,Tim Johnson,"
Animation, Adventure, Comedy            ",177.4
68,Insidious: Chapter 3,2015,6.1,52,84251,97,Leigh Whannell,"
Horror, Mystery, Thriller            ",52.22
69,Self/less,2015,6.5,34,81376,117,Tarsem Singh,"
Action, Mystery, Sci-Fi            ",12.28
70,Hitman: Agent 47,2015,5.7,28,81066,96,Aleksander Bach,"
Action, Adventure, Crime            ",22.47
71,Demolition,2015,7.0,49,79230,101,Jean-Marc Vallée,"
Comedy, Drama            ",1.98
72,Hardcore Henry,2015,6.7,51,79184,96,Ilya Naishuller,"
Action, Adventure, Sci-Fi            ",9.25
73,Concussion,2015,7.1,55,78418,123,Peter Landesman,"
Biography, Drama, Sport            ",34.53
74,American Ultra,2015,6.1,50,77492,96,Nima Nourizadeh,"
Action, Comedy, Sci-Fi            ",14.43
75,Dope,2015,7.2,72,77008,103,Rick Famuyiwa,"
Comedy, Crime, Drama            ",17.47
76,Eddie the Eagle,2015,7.4,54,76707,106,Dexter Fletcher,"
Biography, Comedy, Drama            ",15.79
77,The Duff,2015,6.5,56,75777,101,Ari Sandel,"
Comedy, Romance            ",34.02
78,Goosebumps,2015,6.3,60,73681,103,Rob Letterman,"
Adventure, Comedy, Family            ",80.08
79,Eye in the Sky,2015,7.3,73,72911,102,Gavin Hood,"
Drama, Thriller, War            ",18.7
80,The Invitation,2015,6.7,74,72278,100,Karyn Kusama,"
Drama, Horror, Mystery            ",0.23
81,Entourage,2015,6.6,38,72004,104,Doug Ellin,"
Comedy            ",32.36
82,Project Almanac,2015,6.4,47,71935,106,Dean Israelite,"
Drama, Mystery, Sci-Fi            ",22.33
83,Bone Tomahawk,2015,7.1,72,71915,132,S. Craig Zahler,"
Drama, Horror, Western            ",0.01
84,The Longest Ride,2015,7.1,33,70999,123,George Tillman Jr.,"
Drama, Romance            ",37.43
85,No Escape,2015,6.8,38,70898,103,John Erick Dowdle,"
Action, Thriller            ",27.29
86,Knock Knock,2015,4.9,53,69446,99,Eli Roth,"
Drama, Thriller            ",0.04
87,Trumbo,2015,7.5,60,69413,124,Jay Roach,"
Biography, Drama            ",7.86
88,The Wedding Ringer,2015,6.6,35,67298,101,Jeremy Garelick,"
Comedy            ",64.46
89,Youth,2015,7.3,64,65047,124,Paolo Sorrentino,"
Comedy, Drama, Music            ",2.7
90,Beasts of No Nation,2015,7.8,79,64771,137,Cary Joji Fukunaga,"
Drama, War            ",0.08
91,Mortdecai,2015,5.5,27,61922,107,David Koepp,"
Action, Comedy, Crime            ",7.61
92,Child 44,2015,6.5,41,60081,137,Daniel Espinosa,"
Crime, Drama, History            ",1.21
93,Sisters,2015,6.0,58,59504,118,Jason Moore,"
Comedy            ",87.04
94,The Night Before,2015,6.4,58,59018,101,Jonathan Levine,"
Adventure, Comedy, Fantasy            ",43.04
95,Anomalisa,2015,7.3,88,58677,90,"
Duke Johnson, 
Charlie Kaufman","
Animation, Comedy, Drama            ",3.76
96,Mr. Holmes,2015,6.9,67,58464,104,Bill Condon,"
Drama, Mystery            ",17.74
97,Pan,2015,5.8,36,56261,111,Joe Wright,"
Adventure, Comedy, Family            ",35.09
98,Krampus,2015,6.1,49,55852,98,Michael Dougherty,"
Comedy, Drama, Fantasy            ",42.59
99,Aloha,2015,5.4,40,55571,105,Cameron Crowe,"
Comedy, Drama, Romance            ",20.99
100,Point Break,2015,5.3,34,54291,114,Ericson Core,"
Action, Crime, Sport            ",28.78
101,True Story,2015,6.3,50,54192,99,Rupert Goold,"
Crime, Drama, Mystery            ",4.72
102,Poltergeist,2015,4.9,47,51934,93,Gil Kenan,"
Horror, Thriller            ",47.43
103,Irrational Man,2015,6.6,53,50808,95,Woody Allen,"
Comedy, Drama            ",4.03
104,Le Petit Prince,2015,7.7,70,50581,108,Mark Osborne,"
Animation, Adventure, Drama            ",1.34
105,Solace,2015,6.4,36,50075,101,Afonso Poyart,"
Crime, Drama, Mystery            ",0.01
106,Macbeth,2015,6.6,71,49303,113,Justin Kurzel,"
Drama, History, War            ",1.11
107,Woman in Gold,2015,7.3,51,49061,109,Simon Curtis,"
Biography, Drama, History            ",33.31
108,Blackhat,2015,5.4,51,48853,133,Michael Mann,"
Action, Crime, Thriller            ",7.1
109,Magic Mike XXL,2015,5.6,60,48852,115,Gregory Jacobs,"
Comedy, Drama, Music            ",66.01
110,Victor Frankenstein,2015,6.0,36,47976,110,Paul McGuigan,"
Drama, Horror, Sci-Fi            ",5.78
111,The Dressmaker,2015,7.1,47,47478,119,Jocelyn Moorhouse,"
Comedy, Drama            ",2.02
112,Wild Card,2015,5.6,40,46877,92,Simon West,"
Action, Crime, Drama            ",0.01
113,Victoria,2015,7.7,77,45527,138,Sebastian Schipper,"
Crime, Drama, Romance            ",0.01
114,Hot Pursuit,2015,5.1,31,45123,87,Anne Fletcher,"
Action, Comedy, Crime            ",34.51
115,Man Up,2015,6.8,69,45005,88,Ben Palmer,"
Comedy, Drama, Romance            ",0.01
116,Amy,2015,7.8,85,44319,128,Asif Kapadia,"
Documentary, Biography, Music            ",8.41
117,The Man Who Knew Infinity,2015,7.2,56,44277,108,Matt Brown,"
Biography, Drama            ",3.87
118,The SpongeBob Movie: Sponge Out of Water,2015,6.0,62,44214,92,"
Paul Tibbitt, 
Mike Mitchell","
Animation, Adventure, Comedy            ",162.99
119,Sinister 2,2015,5.3,32,42633,97,Ciarán Foy,"
Horror, Mystery, Thriller            ",27.74
120,Colonia,2015,7.1,33,42325,106,Florian Gallenberger,"
Drama, Romance, Thriller            ",0.01
121,Mr. Right,2015,6.3,52,42131,95,Paco Cabezas,"
Action, Comedy, Romance            ",0.03
122,Far from the Madding Crowd,2015,7.1,71,41395,119,Thomas Vinterberg,"
Drama, Romance            ",12.23
123,Scouts Guide to the Zombie Apocalypse,2015,6.3,32,40910,93,Christopher Landon,"
Action, Comedy, Horror            ",3.64
124,En man som heter Ove,2015,7.7,70,39942,116,Hannes Holm,"
Comedy, Drama, Romance            ",3.36
125,Saul fia,2015,7.5,91,39633,107,László Nemes,"
Drama, War            ",1.78
126,The Peanuts Movie,2015,7.1,67,39448,88,Steve Martino,"
Animation, Adventure, Comedy            ",130.18
127,The Ridiculous 6,2015,4.8,18,39368,119,Frank Coraci,"
Comedy, Western            ",0.01
128,Yip Man 3,2015,7.1,57,39333,105,Wilson Yip,"
Action, Biography, Drama            ",2.68
129,Maggie,2015,5.6,52,39030,95,Henry Hobson,"
Drama, Horror            ",0.19
130,Slow West,2015,6.9,72,38670,84,John Maclean,"
Adventure, Western            ",0.23
131,Dark Places,2015,6.2,39,38611,113,Gilles Paquet-Brenner,"
Action, Drama, Mystery            ",0.01
132,The Lazarus Effect,2015,5.2,31,38168,83,David Gelb,"
Horror, Mystery, Sci-Fi            ",25.8
133,Secret in Their Eyes,2015,6.3,45,37966,111,Billy Ray,"
Crime, Drama, Mystery            ",20.18
134,Love,2015,6.1,51,37953,135,Gaspar Noé,"
Drama, Romance            ",0.01
135,The Transporter Refueled,2015,5.2,32,36553,96,Camille Delamarre,"
Action, Adventure, Crime            ",16.03
136,Sleeping with Other People,2015,6.5,64,36521,101,Leslye Headland,"
Comedy, Drama, Romance            ",0.81
137,The Gunman,2015,5.8,39,36502,115,Pierre Morel,"
Action, Crime, Drama            ",10.64
138,Last Knights,2015,6.2,27,36284,115,Kazuaki Kiriya,"
Action, Drama            ",0.01
139,Absolutely Anything,2015,6.0,31,35228,85,Terry Jones,"
Comedy, Sci-Fi            ",0.01
140,The Boy Next Door,2015,4.7,30,35096,91,Rob Cohen,"
Horror, Thriller            ",35.39
141,Hot Tub Time Machine 2,2015,5.1,29,34722,93,Steve Pink,"
Comedy, Mystery, Sci-Fi            ",12.28
142,Going Clear: Scientology & the Prison of Belief,2015,8.0,80,34639,119,Alex Gibney,"
Documentary            ",0.01
143,Suffragette,2015,6.9,67,34591,106,Sarah Gavron,"
Biography, Drama, History            ",4.69
144,High-Rise,2015,5.6,65,34183,119,Ben Wheatley,"
Drama, Horror, Sci-Fi            ",0.34
145,Regression,2015,5.7,32,33692,106,Alejandro Amenábar,"
Crime, Horror, Mystery            ",0.05
146,Shaun the Sheep Movie,2015,7.3,81,33313,85,"
Mark Burton, 
Richard Starzak","
Animation, Adventure, Comedy            ",19.38
147,The Stanford Prison Experiment,2015,6.9,67,32965,122,Kyle Patrick Alvarez,"
Biography, Drama, History            ",0.64
148,We Are Your Friends,2015,6.2,46,32820,96,Max Joseph,"
Drama, Music, Romance            ",3.59
149,The 33,2015,6.9,55,32597,127,Patricia Riggen,"
Biography, Drama, History            ",12.19
150,"McFarland, USA",2015,7.4,60,32085,129,Niki Caro,"
Biography, Drama, Sport            ",44.47
151,Mustang,2015,7.6,83,31315,97,Deniz Gamze Ergüven,"
Drama            ",0.85
152,Paul Blart: Mall Cop 2,2015,4.4,13,31202,94,Andy Fickman,"
Action, Comedy, Crime            ",71.04
153,The Final Girls,2015,6.6,59,30593,88,Todd Strauss-Schulson,"
Comedy, Drama, Fantasy            ",0.01
154,Unfinished Business,2015,5.4,32,29386,91,Ken Scott,"
Comedy, Drama            ",10.21
155,The Second Best Exotic Marigold Hotel,2015,6.6,51,29212,122,John Madden,"
Comedy, Drama            ",33.08
156,Under sandet,2015,7.8,75,28919,100,Martin Zandvliet,"
Drama, History, War            ",0.44
157,Survivor,2015,5.6,28,28872,96,James McTeigue,"
Action, Crime, Thriller            ",0.01
158,Bølgen,2015,6.7,68,28749,105,Roar Uthaug,"
Action, Drama, Thriller            ",0.18
159,45 Years,2015,7.1,94,28150,91,Andrew Haigh,"
Drama, Romance            ",4.25
160,Cop Car,2015,6.3,66,27799,88,Jon Watts,"
Crime, Thriller            ",0.13
161,Danny Collins,2015,7.0,58,27767,106,Dan Fogelman,"
Biography, Comedy, Drama            ",5.35
162,The Diary of a Teenage Girl,2015,6.9,87,27284,102,Marielle Heller,"
Comedy, Drama, Romance            ",1.48
163,Cobain: Montage of Heck,2015,7.5,83,26279,145,Brett Morgen,"
Documentary, Animation, Biography            ",0.01
164,The End of the Tour,2015,7.3,82,26249,106,James Ponsoldt,"
Biography, Drama            ",2.99
165,Le tout nouveau testament,2015,7.1,70,26145,114,Jaco Van Dormael,"
Comedy, Fantasy            ",0.09
166,Z for Zachariah,2015,6.0,68,25738,98,Craig Zobel,"
Drama, Sci-Fi, Thriller            ",0.12
167,Heist,2015,6.1,37,25007,93,Scott Mann,"
Action, Crime, Thriller            ",0.01
168,Equals,2015,6.1,43,24393,101,Drake Doremus,"
Drama, Romance, Sci-Fi            ",0.03
169,Il racconto dei racconti - Tale of Tales,2015,6.4,72,24322,134,Matteo Garrone,"
Drama, Fantasy, Horror            ",0.08
170,Turbo Kid,2015,6.7,60,24167,93,"
François Simard, 
Anouk Whissell, 
Yoann-Karl Whissell","
Action, Adventure, Comedy            ",0.05
171,Max,2015,6.7,47,24159,111,Boaz Yakin,"
Adventure, Drama, Family            ",42.65
172,A Bigger Splash,2015,6.4,74,23772,125,Luca Guadagnino,"
Drama, Thriller            ",1.98
173,The Lady in the Van,2015,6.7,70,23483,104,Nicholas Hytner,"
Biography, Comedy, Drama            ",10.02
174,Tangerine,2015,7.1,85,23441,88,Sean Baker,"
Comedy, Crime, Drama            ",0.7
175,Mistress America,2015,6.7,75,22725,84,Noah Baumbach,"
Comedy, Drama            ",2.46
176,Paranormal Activity: The Ghost Dimension,2015,4.6,30,22593,88,Gregory Plotkin,"
Horror, Mystery, Thriller            ",18.3
177,Knight of Cups,2015,5.6,53,22471,118,Terrence Malick,"
Drama, Romance            ",0.56
178,A Walk in the Woods,2015,6.3,51,22226,104,Ken Kwapis,"
Adventure, Biography, Comedy            ",29.47
179,Where to Invade Next,2015,7.5,64,21747,120,Michael Moore,"
Documentary, Comedy            ",3.82
180,Fathers & Daughters,2015,7.1,31,21436,116,Gabriele Muccino,"
Drama            ",0.01
181,Ricki and the Flash,2015,5.9,54,21115,101,Jonathan Demme,"
Comedy, Drama, Music            ",26.82
182,Little Boy,2015,7.4,30,21086,106,Alejandro Monteverde,"
Drama, History, War            ",6.42
183,Remember,2015,7.5,52,19634,94,Atom Egoyan,"
Drama, Mystery, Thriller            ",0.64
184,Jane Got a Gun,2015,5.9,49,19224,98,Gavin O'Connor,"
Action, Drama, Western            ",1.51
185,Our Brand Is Crisis,2015,6.1,53,19186,107,David Gordon Green,"
Comedy, Drama            ",7.0
186,Spooks: The Greater Good,2015,6.2,47,19129,104,Bharat Nalluri,"
Action, Drama, Thriller            ",0.01
187,A Perfect Day,2015,6.8,60,18395,106,Fernando León de Aranoa,"
Comedy, Drama, War            ",0.01
188,Love the Coopers,2015,5.8,31,18128,107,Jessie Nelson,"
Comedy, Fantasy, Romance            ",26.28
189,The Gallows,2015,4.2,30,17882,81,"
Travis Cluff, 
Chris Lofing","
Horror, Mystery, Thriller            ",22.76
190,Kidnapping Mr. Heineken,2015,6.1,33,17873,95,Daniel Alfredson,"
Action, Crime, Drama            ",0.01
191,Barely Lethal,2015,5.4,44,17753,96,Kyle Newman,"
Action, Adventure, Comedy            ",0.01
192,El abrazo de la serpiente,2015,7.9,82,17689,125,Ciro Guerra,"
Adventure, Drama            ",1.33
193,"Hello, My Name Is Doris",2015,6.6,63,17597,90,Michael Showalter,"
Comedy, Drama, Romance            ",14.44
194,Mississippi Grind,2015,6.4,77,17562,108,"
Anna Boden, 
Ryan Fleck","
Comedy, Drama            ",0.13
195,Tracers,2015,5.6,45,17317,94,Daniel Benmayor,"
Action, Crime, Drama            ",0.01
196,Truth,2015,6.8,66,17230,125,James Vanderbilt,"
Biography, Drama, History            ",2.54
197,Bilal: A New Breed of Hero,2015,8.0,52,16996,105,"
Khurram H. Alavi, 
Ayman Jamal","
Animation, Action, Adventure            ",0.49
198,Bakemono no ko,2015,7.7,65,16957,119,Mamoru Hosoda,"
Animation, Action, Adventure            ",0.45
199,Tian jiang xiong shi,2015,6.0,41,16840,127,Daniel Lee,"
Action, Adventure, Drama            ",0.07
200,Cartel Land,2015,7.4,76,16791,100,Matthew Heineman,"
Documentary, News            ",0.7
201,Into the Forest,2015,5.9,59,16657,101,Patricia Rozema,"
Drama, Sci-Fi, Thriller            ",0.01
202,By the Sea,2015,5.3,44,16398,122,Angelina Jolie,"
Drama, Romance            ",0.53
203,Experimenter,2015,6.6,81,16245,98,Michael Almereyda,"
Biography, Drama, History            ",0.16
204,Miss You Already,2015,6.8,59,15773,112,Catherine Hardwicke,"
Comedy, Drama, Romance            ",1.16
205,We Are Still Here,2015,5.7,65,15681,84,Ted Geoghegan,"
Horror            ",0.01
206,He Never Died,2015,6.4,72,15256,99,Jason Krawczyk,"
Comedy, Drama, Fantasy            ",0.01
207,The Vatican Tapes,2015,5.0,38,14967,91,Mark Neveldine,"
Horror, Thriller            ",1.71
208,The Overnight,2015,6.1,65,14916,79,Patrick Brice,"
Comedy, Mystery            ",1.1
209,Extinction,2015,5.8,46,14829,112,Miguel Ángel Vivas,"
Drama, Horror, Sci-Fi            ",0.01
210,Alvin and the Chipmunks: The Road Chip,2015,5.0,33,14755,92,Walt Becker,"
Animation, Adventure, Comedy            ",85.89
211,The Program,2015,6.5,53,14664,99,Stephen Frears,"
Biography, Drama, Sport            ",0.01
212,Vice,2015,4.2,17,14537,96,Brian A. Miller,"
Action, Adventure, Sci-Fi            ",0.01
213,The Devil's Candy,2015,6.4,72,14511,79,Sean Byrne,"
Drama, Horror, Thriller            ",0.01
214,Southbound,2015,5.9,58,14483,89,"
Roxanne Benjamin, 
Matt Bettinelli-Olpin, 
David Bruckner, 
Tyler Gillett, 
Patrick Horvath, 
Justin Martinez, 
Radio Silence, 
Chad Villella","
Fantasy, Horror, Thriller            ",0.01
215,Maggie's Plan,2015,6.2,76,14458,98,Rebecca Miller,"
Comedy, Drama, Romance            ",3.35
216,The Survivalist,2015,6.4,80,14421,104,Stephen Fingleton,"
Drama, Sci-Fi, Thriller            ",0.01
217,Pay the Ghost,2015,5.2,23,14284,94,Uli Edel,"
Drama, Horror, Mystery            ",0.01
218,Ci ke Nie Yin Niang,2015,6.3,80,14265,105,Hsiao-Hsien Hou,"
Action, Drama, History            ",0.61
219,Deathgasm,2015,6.3,65,14176,86,Jason Lei Howden,"
Action, Comedy, Horror            ",0.01
220,The Hallow,2015,5.7,65,14009,97,Corin Hardy,"
Horror            ",0.01
221,February,2015,5.9,68,13930,93,Oz Perkins,"
Horror, Thriller            ",0.02
222,Grandma,2015,6.7,77,13784,79,Paul Weitz,"
Comedy, Drama            ",6.98
223,Ashby,2015,6.4,46,13659,100,Tony McNamara,"
Comedy, Crime, Drama            ",0.01
224,Home Sweet Hell,2015,5.4,22,13056,98,Anthony Burns,"
Comedy, Crime, Thriller            ",0.01
225,Meru,2015,7.7,77,12882,90,"
Jimmy Chin, 
Elizabeth Chai Vasarhelyi","
Documentary, Action, Adventure            ",2.33
226,The Human Centipede III (Final Sequence),2015,2.8,5,12825,102,Tom Six,"
Comedy, Horror            ",0.01
227,Momentum,2015,5.5,18,12715,96,Stephen S. Campanelli,"
Action, Crime, Thriller            ",0.01
228,Dheepan,2015,7.2,76,12481,115,Jacques Audiard,"
Crime, Drama            ",0.25
229,Emelie,2015,5.4,62,12089,82,Michael Thelin,"
Horror, Thriller            ",0.01
230,Taxi,2015,7.3,91,12030,82,Jafar Panahi,"
Comedy, Drama            ",0.32
231,War Room,2015,6.4,26,11818,120,Alex Kendrick,"
Drama            ",67.79
232,The Sea of Trees,2015,6.1,23,11681,110,Gus Van Sant,"
Drama, Fantasy, Mystery            ",0.02
233,Area 51,2015,4.2,30,11658,91,Oren Peli,"
Horror, Mystery, Sci-Fi            ",0.01
234,Air,2015,5.1,33,11284,95,Christian Cantamessa,"
Drama, Sci-Fi, Thriller            ",0.01
235,The Wolfpack,2015,7.0,75,11138,90,Crystal Moselle,"
Documentary, Biography            ",1.3
236,Que Horas Ela Volta?,2015,7.8,82,11012,112,Anna Muylaert,"
Comedy, Drama            ",0.38
237,My Scientology Movie,2015,6.7,62,10999,99,John Dower,"
Documentary            ",0.02
238,Return to Sender,2015,5.1,23,10978,92,Fouad Mikati,"
Drama, Thriller            ",0.01
239,Soaked in Bleach,2015,7.5,50,10873,90,Benjamin Statler,"
Documentary, Crime            ",0.01
240,El Clan,2015,7.0,73,10867,108,Pablo Trapero,"
Biography, Crime, Drama            ",0.19
241,The Meddler,2015,6.3,68,10848,103,Lorene Scafaria,"
Comedy, Drama, Romance            ",4.27
242,Louder Than Bombs,2015,6.6,70,10838,109,Joachim Trier,"
Drama            ",0.16
243,Winter on Fire: Ukraine's Fight for Freedom,2015,8.4,79,10764,102,Evgeny Afineevsky,"
Documentary            ",0.01
244,Backtrack,2015,5.9,43,10708,90,Michael Petroni,"
Drama, Fantasy, Mystery            ",0.01
245,Freeheld,2015,6.6,50,10670,103,Peter Sollett,"
Biography, Drama, Romance            ",0.53
246,Shut In,2015,5.7,39,10482,90,Adam Schindler,"
Drama, Horror, Thriller            ",0.01
247,"What Happened, Miss Simone?",2015,7.6,75,10369,101,Liz Garbus,"
Documentary, Biography, Music            ",0.01
248,Truman,2015,7.3,81,10300,108,Cesc Gay,"
Comedy, Drama            ",0.21
249,Tales of Halloween,2015,5.5,64,10241,92,"
Darren Lynn Bousman, 
Axelle Carolyn, 
Adam Gierasch, 
Andrew Kasch, 
Neil Marshall, 
Lucky McKee, 
Mike Mendez, 
Dave Parker, 
Ryan Schifrin, 
John Skipp, 
Paul Solet","
Comedy, Horror            ",0.01
250,6 Years,2015,5.6,53,10234,79,Hannah Fidell,"
Drama, Romance            ",0.01
251,Umimachi Diary,2015,7.5,75,9929,127,Hirokazu Koreeda,"
Drama, Family            ",0.46
252,Spare Parts,2015,7.3,50,9762,114,Sean McNamara,"
Drama            ",3.61
253,Synchronicity,2015,5.5,39,9687,101,Jacob Gentry,"
Drama, Mystery, Romance            ",0.01
254,Rock the Kasbah,2015,5.5,29,9684,106,Barry Levinson,"
Comedy, Music, War            ",2.98
255,Jenny's Wedding,2015,5.5,33,9508,94,Mary Agnes Donoghue,"
Comedy, Drama, Romance            ",0.01
256,Mon roi,2015,7.1,68,9414,124,Maïwenn,"
Drama, Romance            ",0.05
257,Strange Magic,2015,5.8,25,9376,99,Gary Rydstrom,"
Animation, Adventure, Comedy            ",12.43
258,Forsaken,2015,6.3,55,9290,90,Jon Cassar,"
Action, Drama, Western            ",0.01
